T0621                                                                                               01                                                                                                  02-JUN-2022 08:37:0602-JUN-2022 08:44:54 7 8 3 2 5 6 3 8 3 7 7 9 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 299 1 6 1 1 0 0 0 0 0 0 0 1 0 0 0                                                                                                                                                                                                         3 2 3 0 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 2 2 4 0 1 1 0 0 1 2 3 0 0 0 0 1 0 1 1 0                                                                                                                                                                                                                                                                                                                                60 6 3 5 9208999999 0 1 0 0 1 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0622                                                                                               01                                                                                                  01-JUN-2022 16:47:4101-JUN-2022 16:54:5710 5 8 9 6 6 6 6 9 5 610 19999999999999999999999                                                                                                                                                                                                                                                           2 1 1 199 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0                                                                                                                                                                                                         2 2 6 1 0 1 0 0 0 0 1 29999999999999999999999 1 2 3 0 0 0 1 0 1 2 3 0 1 1 0 1 0 0 0 0                                                                                                                                                                                                                                                                                                                                59 5 3 1 9302999999 0 1 0 0 1 0 0 0 0 0 0 2 999999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0623                                                                                               01                                                                                                  01-JUN-2022 17:16:2101-JUN-2022 17:32:2910101010101010 9 8 7 8 6 19999999999999999999999                                                                                                                                                                                                                                                           1 1 0 09998 5 1 1 0 0 0 0 1 0 0 0 0 0 0                                                                                                                                                                                                         2 3 6 0 0 1 0 0 0 1 1 29999999999999999999999 1 2 3 0 0 0 1 0 1 199 0 1 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                59 3 3 1 6601999999 0 1 0 0 0 0 0 0 0 0 0 21099999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0624                                                                                               01                                                                                                  02-JUN-2022 09:55:3502-JUN-2022 10:13:01 710 4 9 8 810 210 6 2 7 19999999999999999999999                                                                                                                                                                                                                                                           1 29999 7 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0                                                                                                                                                                                                         5 2 2 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 2 2 1 1 1 0 0 1 2 3 0 1 1 0 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                59 7 1 5 8207999999 0 1 0 0 0 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0625                                                                                               01                                                                                                  01-JUN-2022 12:10:2301-JUN-2022 12:22:45 7 9 6 5 710 9 9 8 9 8 7 6 6 2 1 1 0 0 1 0 0 0 0                                                                                                                                                                                                                                                           3 29999 1 7 7 1 0 0 1 0 0 0 0 0 1 0 0 0                                                                                                                                                                                                         5 3 3 0 0 1 1 0 1 0 0 29999999999999999999999 1 1 2 1 0 0 1 0 1 2 3 0 1 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                59 5 2 2 4302999999 0 0 1 0 0 0 1 0 0 0 015999999999999999999 599999999999999999999 1999999999999999999999999999999999999999999
T0626                                                                                               01                                                                                                  01-JUN-2022 17:13:2601-JUN-2022 17:55:24 3 7 5 8 7 9 9 9 7 7 8 9 6 1 2 0 0 1 0 1 0 1 0 0                                                                                                                                                                                                                                                           2 29999 1 1 5 0 0 1 0 0 0 1 1 0 0 0 0 0                                                                                                                                                                                                         3 2 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 2 3 1 0 0 1 0 1 2 3 0 0 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                59 6 3 3 7206999999 0 0 1 0 0 0 1 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0627                                                                                               01                                                                                                  01-JUN-2022 12:57:4601-JUN-2022 13:03:531010 5 6 6 710 7 6 3 5 4 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 099 1 5 0 0 1 1 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         5 2 2 0 0 1 0 0 0 1 1 29999999999999999999999 1 2 2 0 1 0 0 0 1 199 0 1 0 1 0 0 0 1 0                                                                                                                                                                                                                                                                                                                                58 6 3 3 5301999999 0 1 0 0 0 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0628                                                                                               01                                                                                                  01-JUN-2022 17:33:2601-JUN-2022 17:51:3210 9 8 7 810 8 5 810 8 8 19999999999999999999999                                                                                                                                                                                                                                                           1 1 0 099 498 0 0 0 0 1 0 1 0 0 1 0 0 0                                                                                                                                                                                                         4 2 7 0 0 1 0 0 0 1 1 29999999999999999999999 1 2 3 0 1 1 0 0 1 2 3 0 1 0 1 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                57 6 2 4 9206999999 0 1 0 0 0 0 0 0 0 0 0149999999999999999 19999999999999999999999 1999999999999999999999999999999999999999999
T0629                                                                                               01                                                                                                  01-JUN-2022 12:13:1901-JUN-2022 12:21:58 7 7 8 8 8 9 8 8 910 8 8 19999999999999999999999                                                                                                                                                                                                                                                           1 1 0 099 1 4 1 0 1 0 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         5 3 6 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 2 3 0 1 0 0 0 1 2 3 0 1 0 1 0 0 0 1 0                                                                                                                                                                                                                                                                                                                                54 5 3 3 7906999801 0 1 0 0 1 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0630                                                                                               01                                                                                                  01-JUN-2022 22:34:2101-JUN-2022 22:54:01 8 9 8 9 9 8 9 6 6 6 6 6 19999999999999999999999                                                                                                                                                                                                                                                           3 1 0 099 6 6 1 0 1 0 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         9 2 1 1 0 0 0 0 0 1 0 29999999999999999999999 1 2 3 1 0 1 0 0 1 2 3 0 1 0 1 0 0 0 1 0                                                                                                                                                                                                                                                                                                                                50 3 4 3 9906999501 0 1 1 0 1 1 0 0 0 0 0 2 799999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0631                                                                                               01                                                                                                  01-JUN-2022 13:25:0501-JUN-2022 13:34:02 9 9 8 8 710 9 9 9 9 8 8 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 099 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0                                                                                                                                                                                                         2 2 7 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 2 1 0 0 1 0 1 2 3 0 1 0 0 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                49 3 3 2 2601999999 0 1 0 0 0 0 0 0 0 0 0 2 299999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0632                                                                                               01                                                                                                  04-JUN-2022 08:16:3804-JUN-2022 08:31:00 9 8 9 91010 8 8 910 910 5 1 2 0 1 0 0 0 0 1 0 0                                                                                                                                                                                                                                                           2 1 0 099 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0                                                                                                                                                                                                         7 2 1 1 0 1 0 0 0 1 0 29999999999999999999999 1 2 2 0 0 0 0 1 1 199 0 1 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                48 5 3 3 5906999401 0 0 1 0 1 0 0 0 0 0 015999999999999999999 699999999999999999999 1999999999999999999999999999999999999999999
T0633                                                                                               01                                                                                                  02-JUN-2022 09:55:4002-JUN-2022 10:07:53 5 9 9 9 81010 5 9 7 610 5 5 1 0 0 0 0 0 0 0 0 1                                                                                                                                                                                                                                                           2 1 0 099 7 1 1 1 0 0 0 0 0 0 0 1 0 0 0                                                                                                                                                                                                         9 2 2 1 0 0 1 0 0 1 0 29999999999999999999999 1 2 3 1 0 0 0 0 3 199 0 0 0 1 0 1 1 0 0                                                                                                                                                                                                                                                                                                                                47 5 3 3 1211999999 1 0 0 0 0 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0634                                                                                               01                                                                                                  03-JUN-2022 10:43:5003-JUN-2022 11:07:2410 8 7 7 7 6 7 91010 8 9 19999999999999999999999                                                                                                                                                                                                                                                           3 1 0 099 1 5 1 0 1 1 0 0 0 0 0 0 0 0 0                                                                                                                                                                                                         2 2 2 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 4 3 1 0 0 0 0 1 2 3 1 1 1 0 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                43 3 4 3 2906999601 0 1 0 0 0 0 0 0 0 0 0 2 299999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0635                                                                                               01                                                                                                  01-JUN-2022 12:44:0301-JUN-2022 13:16:1110 510 010 610 510 2 210 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 099 1 6 1 0 0 0 1 0 0 0 0 1 0 0 0                                                                                                                                                                                                         6 2 6 1 0 1 1 0 0 0 0 29999999999999999999999 1 2 4 1 0 0 0 0 1 2 3 0 1 1 0 0 0 0 1 0                                                                                                                                                                                                                                                                                                                                43 5 3 3 7906999106 0 1 0 0 1 0 0 0 0 0 015999999999999999999 199999999999999999999 1999999999999999999999999999999999999999999
